chain;generation;mvalue
31;0;0.35714285714285715
31;1;0.35714285714285715
31;2;0.35714285714285715
31;3;0.35714285714285715
31;4;0.32142857142857145
31;5;0.2857142857142857
31;6;0.2857142857142857
31;7;0.2857142857142857
31;8;0.3076923076923077
31;9;0.3076923076923077
31;10;0.25
32;0;0.35714285714285715
32;1;0.35714285714285715
32;2;0.35714285714285715
32;3;0.35714285714285715
32;4;0.35714285714285715
32;5;0.32142857142857145
32;6;0.38461538461538464
32;7;0.32142857142857145
32;8;0.32142857142857145
32;9;0.32142857142857145
32;10;0.35714285714285715
33;0;0.35714285714285715
33;1;0.35714285714285715
33;2;0.35714285714285715
33;3;0.39285714285714285
33;4;0.37037037037037035
33;5;0.3076923076923077
33;6;0.2692307692307692
33;7;0.2692307692307692
33;8;0.2692307692307692
33;9;0.25925925925925924
33;10;0.25925925925925924
34;0;0.35714285714285715
34;1;0.35714285714285715
34;2;0.35714285714285715
34;3;0.35714285714285715
34;4;0.35714285714285715
34;5;0.3225806451612903
34;6;0.23333333333333334
34;7;0.22580645161290322
34;8;0.22580645161290322
34;9;0.23333333333333334
34;10;0.1875
35;0;0.35714285714285715
35;1;0.35714285714285715
35;2;0.25925925925925924
35;3;0.25
35;4;0.25
35;5;0.2857142857142857
35;6;0.2857142857142857
35;7;0.2857142857142857
35;8;0.2857142857142857
35;9;0.2857142857142857
35;10;0.32142857142857145
36;0;0.35714285714285715
36;1;0.35714285714285715
36;2;0.32142857142857145
36;3;0.2857142857142857
36;4;0.2857142857142857
36;5;0.2857142857142857
36;6;0.2962962962962963
36;7;0.2962962962962963
36;8;0.2962962962962963
36;9;0.2962962962962963
36;10;0.21428571428571427
37;0;0.35714285714285715
37;1;0.35714285714285715
37;2;0.35714285714285715
37;3;0.35714285714285715
37;4;0.35714285714285715
37;5;0.35714285714285715
37;6;0.37037037037037035
37;7;0.34615384615384615
37;8;0.34615384615384615
37;9;0.32
37;10;0.25
38;0;0.35714285714285715
38;1;0.35714285714285715
38;2;0.35714285714285715
38;3;0.38461538461538464
38;4;0.32142857142857145
38;5;0.32142857142857145
38;6;0.32142857142857145
38;7;0.3076923076923077
38;8;0.28
38;9;0.28
38;10;0.2692307692307692
39;0;0.35714285714285715
39;1;0.35714285714285715
39;2;0.39285714285714285
39;3;0.35714285714285715
39;4;0.3103448275862069
39;5;0.28125
39;6;0.34375
39;7;0.28125
39;8;0.28125
39;9;0.3125
39;10;0.28125
40;0;0.35714285714285715
40;1;0.35714285714285715
40;2;0.32142857142857145
40;3;0.32142857142857145
40;4;0.3333333333333333
40;5;0.3333333333333333
40;6;0.25
40;7;0.25
40;8;0.25925925925925924
40;9;0.25925925925925924
40;10;0.2692307692307692
41;0;0.35714285714285715
41;1;0.35714285714285715
41;2;0.37037037037037035
41;3;0.35714285714285715
41;4;0.32142857142857145
41;5;0.2857142857142857
41;6;0.2962962962962963
41;7;0.25925925925925924
41;8;0.25
41;9;0.25
41;10;0.25
42;0;0.35714285714285715
42;1;0.35714285714285715
42;2;0.35714285714285715
42;3;0.32142857142857145
42;4;0.32142857142857145
42;5;0.32142857142857145
42;6;0.32142857142857145
42;7;0.32142857142857145
42;8;0.32142857142857145
42;9;0.32142857142857145
42;10;0.35714285714285715
43;0;0.35714285714285715
43;1;0.35714285714285715
43;2;0.35714285714285715
43;3;0.35714285714285715
43;4;0.35714285714285715
43;5;0.2962962962962963
43;6;0.32142857142857145
43;7;0.32142857142857145
43;8;0.32142857142857145
43;9;0.32142857142857145
43;10;0.32142857142857145
44;0;0.35714285714285715
44;1;0.35714285714285715
44;2;0.35714285714285715
44;3;0.27586206896551724
44;4;0.2857142857142857
44;5;0.2857142857142857
44;6;0.2857142857142857
44;7;0.2857142857142857
44;8;0.2962962962962963
44;9;0.25925925925925924
44;10;0.2857142857142857
45;0;0.35714285714285715
45;1;0.35714285714285715
45;2;0.35714285714285715
45;3;0.35714285714285715
45;4;0.2857142857142857
45;5;0.32142857142857145
45;6;0.3333333333333333
45;7;0.38461538461538464
45;8;0.25925925925925924
45;9;0.25
45;10;0.25
